key_kind,source_industry,destination_industry,commodity,row_code,share
C3,221100,233240,,423800,-0.0047484053782584955
C3,221100,233240,,423A00,-0.0039531194982097275
C3,221100,233240,,424200,0.0009402667618161417
C3,221100,233240,,424400,-0.0015013034977077349
C3,221100,233240,,424700,-0.0030513211908017313
C3,221100,233240,,424A00,-0.002942469470894881
C3,221100,233240,,425000,0.009282708055363105
C3,221100,233240,,441000,-0.00037516843475904875
C3,221100,233240,,445000,2.304545192520709e-05
C3,221100,233240,,452000,1.2556616237757522e-05
C3,221100,233240,,444000,-0.0003437248831930717
C3,221100,233240,,447000,0.0009178997435238095
C3,221100,233240,,454000,-0.0003095365903762265
C3,221100,233240,,4B0000,-0.00013366698424948156
C3,221100,233240,,481000,0.0004895130763384126
C3,221100,233240,,482000,-0.0030421791197880518
C3,221100,233240,,483000,-0.0005377399206035179
C3,221100,233240,,484000,-0.005973853106279448
C3,221100,233240,,485000,-0.0016983599610227822
C3,221100,233240,,486000,-0.003606896438827027
C3,221100,233240,,48A000,-0.0134992964629011
C3,221100,233240,,492000,0.0004309634181363892
C3,221100,233240,,493000,0.10123029374756325
C3,221100,233240,,511110,0.00010227916359240979
C3,221100,233240,,511120,-0.000106581832003926
C3,221100,233240,,511130,-5.4933643260266265e-05
C3,221100,233240,,5111A0,-0.00010630232644408633
C3,221100,233240,,511200,-0.002179081879721087
C3,221100,233240,,512100,-0.00016477230589091008
C3,221100,233240,,512200,-4.580547609367886e-09
C3,221100,233240,,517110,-0.006760398247381892
C3,221100,233240,,517210,-0.004276679818766602
C3,221100,233240,,517A00,-0.0013897741083688632
C3,221100,233240,,518200,-0.000959219448776259
C3,221100,233240,,519130,-0.000299564825174424
C3,221100,233240,,5191A0,-5.851921923220032e-05
C3,221100,233240,,522A00,0.0037360788999226545
C3,221100,233240,,52A000,-0.017136085355082497
C3,221100,233240,,523900,-0.00036504549794905356
C3,221100,233240,,523A00,-0.000955744471275728
C3,221100,233240,,5241XX,-0.0008867173787946477
C3,221100,233240,,524200,-0.007106558707919999
C3,221100,233240,,531ORE,-0.04310535013603958
C3,221100,233240,,532100,-0.0014857644752892321
C3,221100,233240,,532400,-0.0006759283953306244
C3,221100,233240,,532A00,-0.00032889015149256776
C3,221100,233240,,533000,0.0009734463469633854
C3,221100,233240,,541100,0.010032304556511879
C3,221100,233240,,541512,-0.0014664274000495217
C3,221100,233240,,54151A,-0.00276282960664028
C3,221100,233240,,541200,-0.010101198003919107
C3,221100,233240,,541300,0.011141229428480717
C3,221100,233240,,541610,-0.0039518841942329345
C3,221100,233240,,5416A0,-0.004996046766215824
C3,221100,233240,,541700,-0.0013048977252900597
C3,221100,233240,,541800,-0.0030543959471523888
C3,221100,233240,,541400,0.0005193430558553005
C3,221100,233240,,541920,-0.000293506461196121
C3,221100,233240,,541940,-2.723089133844502e-05
C3,221100,233240,,5419A0,-0.003309027275689191
C3,221100,233240,,550000,0.008226333811230106
C3,221100,233240,,561300,-0.023358497127346178
C3,221100,233240,,561700,-0.00161767066433265
C3,221100,233240,,561100,-0.0024298816508299035
C3,221100,233240,,561200,-0.0014280548704442163
C3,221100,233240,,561400,-0.0022031112793275826
C3,221100,233240,,561500,-0.0011629552495597707
C3,221100,233240,,561600,-0.007382955214724571
C3,221100,233240,,561900,-0.0021501405071113542
C3,221100,233240,,562000,-0.002775802702232223
C3,221100,233240,,611A00,0.0014188700253296121
C3,221100,233240,,611B00,-0.0005486184703585588
C3,221100,233240,,711100,-0.00020442544108868467
C3,221100,233240,,711200,-0.00016371165124856598
C3,221100,233240,,711500,-0.0015443445796237793
C3,221100,233240,,711A00,-0.0003157332479444586
C3,221100,233240,,713900,-0.0003306786502136518
C3,221100,233240,,721000,-0.0018589556190165358
C3,221100,233240,,722110,-0.0006369115940254348
C3,221100,233240,,722211,0.00045129476157191147
C3,221100,233240,,722A00,-0.000419800860253511
C3,221100,233240,,811100,-0.0010151636524844594
C3,221100,233240,,811200,-0.005448577737270076
C3,221100,233240,,811300,-0.000562195390190426
C3,221100,233240,,811400,-0.002800760266581912
C3,221100,233240,,812300,-0.00048202339085192655
C3,221100,233240,,812900,-0.0009014273820358086
C3,221100,233240,,813B00,-0.0010167179518672724
C3,221100,233240,,491000,-0.002921133049179458
C3,221100,233240,,S00203,-0.006576181779422375
C3,221100,233240,,S00402,-0.022671106914213767
C3,221100,233240,,S00300,-0.005204565291786373
C3,221100,233240,,V00100,0.6374858355639796
C3,221100,233240,,V00200,-0.16045282103899725
C3,221100,233240,,V00300,0.6818212367049364
C3,441000,811100,,111400,4.442011836852868e-05
C3,441000,811100,,111900,1.3557027636754007e-07
C3,441000,811100,,211000,3.2842971067304025e-07
C3,441000,811100,,212100,-8.051693435088555e-06
C3,441000,811100,,212230,-1.1272536729671445e-05
C3,441000,811100,,212310,4.112298383148715e-06
C3,441000,811100,,2123A0,1.664501726512575e-06
C3,441000,811100,,221100,-0.0011859726676894933
C3,441000,811100,,221200,-4.6170496381157966e-05
C3,441000,811100,,221300,-0.0001730889633243452
C3,441000,811100,,230301,-0.00033893303449340783
C3,441000,811100,,321100,1.3903412665433248e-05
C3,441000,811100,,321200,1.3579034804935025e-05
C3,441000,811100,,321910,8.102254562313879e-06
C3,441000,811100,,3219A0,6.562035308350943e-07
C3,441000,811100,,327100,7.72665119146873e-06
C3,441000,811100,,327200,-0.0003869541949324123
C3,441000,811100,,327310,4.782618082965997e-07
C3,441000,811100,,327320,-1.4691299745338124e-05
C3,441000,811100,,327330,4.555751599473709e-06
C3,441000,811100,,327390,1.65880538408084e-05
C3,441000,811100,,327400,1.2541017035778543e-06
C3,441000,811100,,327910,2.4592832822076284e-05
C3,441000,811100,,327991,1.6946284545942507e-06
C3,441000,811100,,327993,7.230414739602136e-07
C3,441000,811100,,327999,3.577548959698974e-07
C3,441000,811100,,331110,6.000017732651214e-06
C3,441000,811100,,331200,1.0911048100458314e-06
C3,441000,811100,,331313,1.2323553692240878e-07
C3,441000,811100,,33131B,4.1424251112303914e-08
C3,441000,811100,,331410,9.492547883600321e-05
C3,441000,811100,,331420,4.926811560356949e-07
C3,441000,811100,,331490,6.284559634509919e-06
