source_industry,commodity,destination_industry,share,delta,rule_id,va_mix
531HST,233412,233412,1.0,4448000000.0,default,
531HST,233411,233411,1.0,15830000000.0,default,
531HST,541511,541511,1.0,75000000.0,default,
531HST,541700,541700,1.0,54000000.0,default,
531ORE,230302,230302,1.0,252000000.0,default,
531ORE,2332A0,2332A0,1.0,45000000.0,default,
531ORE,522A00,522A00,1.0,1475000000.0,default,
531ORE,524200,524200,1.0,385000000.0,default,
531ORE,541511,541511,1.0,230000000.0,default,
531ORE,541700,541700,1.0,231000000.0,default,
531ORE,5419A0,5419A0,1.0,50000000.0,default,
531ORE,721000,721000,1.0,64000000.0,default,
532100,441000,441000,1.0,516000000.0,default,
532100,522A00,522A00,1.0,60000000.0,default,
532100,5241XX,5241XX,1.0,477000000.0,default,
532100,531ORE,531ORE,1.0,126000000.0,default,
532100,541511,541511,1.0,31000000.0,default,
532100,541700,541700,1.0,28000000.0,default,
532100,811100,811100,1.0,24000000.0,default,
532400,2332A0,2332A0,1.0,35000000.0,default,
532400,452000,452000,1.0,556000000.0,default,
532400,444000,444000,1.0,61000000.0,default,
532400,4B0000,4B0000,1.0,13000000.0,default,
532400,484000,484000,1.0,1004000000.0,default,
532400,522A00,522A00,1.0,7000000.0,default,
532400,5241XX,5241XX,1.0,50000000.0,default,
532400,531ORE,531ORE,0.42399049881235157,357000000.0,default,
532400,541511,541511,1.0,27000000.0,default,
532400,541700,541700,1.0,31000000.0,default,
532400,611B00,611B00,1.0,3000000.0,default,
532400,811300,811300,1.0,850000000.0,default,
532A00,2332A0,2332A0,1.0,14000000.0,default,
532A00,452000,452000,1.0,2269000000.0,default,
532A00,4B0000,4B0000,1.0,188000000.0,default,
532A00,484000,484000,1.0,56000000.0,default,
532A00,5241XX,5241XX,1.0,44000000.0,default,
532A00,541511,541511,1.0,34000000.0,default,
532A00,541700,541700,1.0,21000000.0,default,
532A00,811300,811300,1.0,50000000.0,default,
532A00,811400,811400,1.0,26000000.0,default,
532A00,812900,812900,1.0,47000000.0,default,
533000,541511,541511,1.0,36000000.0,default,
533000,541700,541700,1.0,88000000.0,default,
541100,2332A0,2332A0,1.0,2000000.0,default,
541100,541511,541511,1.0,359000000.0,default,
541100,541700,541700,1.0,79000000.0,default,
541511,2332A0,2332A0,1.0,3000000.0,default,
541511,423400,423400,1.0,27000000.0,default,
541511,4B0000,4B0000,1.0,161000000.0,default,
541511,511200,511200,1.0,2538000000.0,C2,
541511,517110,517110,1.0,3000000.0,default,
541511,517A00,517A00,1.0,2000000.0,default,
541511,518200,518200,1.0,5785000000.0,default,
541511,532400,532400,1.0,15000000.0,default,
541511,541700,541700,1.0,4317000000.0,default,
541511,561300,561300,1.0,3538000000.0,default,
541511,611B00,611B00,1.0,115000000.0,default,
541511,811200,811200,1.0,577000000.0,default,
541512,2332A0,2332A0,1.0,3000000.0,default,
541512,423400,423400,1.0,69000000.0,default,
541512,4B0000,4B0000,1.0,664000000.0,default,
541512,517110,517110,1.0,51000000.0,default,
541512,518200,518200,1.0,7187000000.0,default,
541512,532400,532400,1.0,75000000.0,default,
541512,541511,541511,0.034413014802872635,2348000000.0,default,
541512,541700,541700,1.0,4429000000.0,default,
541512,561300,561300,1.0,644000000.0,default,
541512,611B00,611B00,1.0,121000000.0,default,
541512,811200,811200,1.0,2773000000.0,default,
54151A,2332A0,2332A0,1.0,1000000.0,default,
54151A,423400,423400,1.0,34000000.0,default,
54151A,4B0000,4B0000,1.0,353000000.0,default,
54151A,517110,517110,1.0,101000000.0,default,
54151A,518200,518200,1.0,5452000000.0,default,
54151A,532400,532400,1.0,29000000.0,default,
54151A,541511,541511,0.16265283438310485,439000000.0,default,
54151A,541700,541700,1.0,827000000.0,default,
54151A,561300,561300,1.0,713000000.0,default,
54151A,611B00,611B00,1.0,109000000.0,default,
54151A,811200,811200,1.0,470000000.0,default,
541200,2332A0,2332A0,1.0,7000000.0,default,
541200,523900,523900,1.0,450000000.0,default,
541200,541511,541511,1.0,819000000.0,default,
541200,541610,541610,0.8226638349514563,5423000000.0,default,
541200,541700,541700,1.0,148000000.0,default,
541300,2332A0,2332A0,1.0,369000000.0,default,
541300,452000,452000,1.0,547000000.0,default,
541300,444000,444000,1.0,81000000.0,default,
541300,4B0000,4B0000,1.0,23000000.0,default,
541300,541511,541511,1.0,1691000000.0,default,
541300,541700,541700,1.0,2336000000.0,default,
541300,561700,561700,1.0,206000000.0,default,
541610,2332A0,2332A0,1.0,49000000.0,default,
541610,4B0000,4B0000,1.0,83000000.0,default,
541610,518200,518200,1.0,54994000000.0,default,
541610,541511,541511,0.4634723454599231,1567000000.0,default,
541610,541700,541700,1.0,1016000000.0,default,
5416A0,2332A0,2332A0,1.0,11000000.0,default,
5416A0,4B0000,4B0000,1.0,27000000.0,default,
5416A0,541511,541511,1.0,387000000.0,default,
5416A0,541512,541512,1.0,87000000.0,default,
5416A0,541700,541700,1.0,282000000.0,default,
5416A0,561200,561200,1.0,201000000.0,default,
541700,2332A0,2332A0,1.0,17000000.0,default,
541700,4B0000,4B0000,1.0,269000000.0,default,
541700,541511,541511,1.0,1073000000.0,default,
541800,2332A0,2332A0,1.0,21000000.0,default,
541800,4B0000,4B0000,1.0,37000000.0,default,
541800,541511,541511,1.0,611000000.0,default,
541800,541700,541700,1.0,108000000.0,default,
541400,2332A0,2332A0,1.0,6000000.0,default,
541400,323110,323110,1.0,7000000.0,default,
541400,452000,452000,1.0,3000000.0,default,
541400,444000,444000,1.0,2000000.0,default,
541400,4B0000,4B0000,1.0,86000000.0,default,
541400,518200,518200,1.0,96000000.0,default,
541400,541511,541511,1.0,100000000.0,default,
541400,541700,541700,1.0,14000000.0,default,
541920,2332A0,2332A0,1.0,3000000.0,default,
541920,4B0000,4B0000,1.0,22000000.0,default,
541920,532A00,532A00,1.0,37000000.0,default,
541920,541511,541511,1.0,52000000.0,default,
541920,541700,541700,1.0,6000000.0,default,
541920,811200,811200,1.0,6000000.0,default,
541940,2332A0,2332A0,1.0,7000000.0,default,
541940,4B0000,4B0000,1.0,1058000000.0,default,
541940,541511,541511,1.0,368000000.0,default,
541940,541700,541700,1.0,55000000.0,default,
541940,812900,812900,1.0,1752000000.0,default,
5419A0,2332A0,2332A0,1.0,20000000.0,default,
5419A0,452000,452000,1.0,24000000.0,default,
5419A0,4B0000,4B0000,1.0,9000000.0,default,
5419A0,541511,541511,1.0,276000000.0,default,
5419A0,541700,541700,1.0,78000000.0,default,
550000,2332A0,2332A0,1.0,75000000.0,default,
550000,541511,541511,1.0,11270000000.0,default,
550000,541700,541700,1.0,5408000000.0,default,
561300,2332A0,2332A0,1.0,837000000.0,default,
561300,4B0000,4B0000,1.0,68000000.0,default,
561300,541511,541511,1.0,5064000000.0,default,
561300,541700,541700,1.0,139000000.0,default,
561700,2332A0,2332A0,1.0,149000000.0,default,
561700,444000,444000,1.0,194000000.0,default,
561700,448000,448000,1.0,53000000.0,default,
561700,4B0000,4B0000,1.0,26000000.0,default,
561700,541511,541511,1.0,5000000.0,default,
561700,541700,541700,1.0,1000000.0,default,
561100,2332A0,2332A0,1.0,4000000.0,default,
561100,4B0000,4B0000,1.0,62000000.0,default,
561100,541511,541511,1.0,1129000000.0,default,
561100,541300,541300,1.0,272000000.0,default,
561100,541700,541700,1.0,1066000000.0,default,
561100,561200,561200,0.044111255975662754,203000000.0,default,
561200,2332A0,2332A0,1.0,20000000.0,default,
561200,4B0000,4B0000,1.0,14000000.0,default,
561200,541511,541511,1.0,25000000.0,default,
561200,541300,541300,1.0,99000000.0,default,
561200,541700,541700,1.0,1000000.0,default,
561400,2332A0,2332A0,1.0,19000000.0,default,
561400,323110,323110,1.0,750000000.0,default,
561400,4B0000,4B0000,1.0,99000000.0,default,
561400,541511,541511,1.0,597000000.0,default,
561400,541700,541700,1.0,22000000.0,default,
561400,561900,561900,0.001379310344827586,3000000.0,default,
561500,4B0000,4B0000,1.0,870000000.0,default,
561500,541511,541511,1.0,480000000.0,default,
561500,541700,541700,1.0,9000000.0,default,
561600,2332D0,2332D0,1.0,4000000.0,default,
561600,4B0000,4B0000,1.0,21000000.0,default,
561600,532400,532400,1.0,201000000.0,default,
561600,541511,541511,1.0,133000000.0,default,
561600,541700,541700,1.0,4000000.0,default,
561900,2332A0,2332A0,1.0,41000000.0,default,
561900,323110,323110,1.0,724000000.0,default,
561900,4B0000,4B0000,1.0,20000000.0,default,
561900,541511,541511,1.0,185000000.0,default,
561900,541700,541700,1.0,4000000.0,default,
562000,2332D0,2332D0,1.0,1000000.0,default,
562000,444000,444000,1.0,105000000.0,default,
562000,48A000,48A000,1.0,459000000.0,default,
562000,532400,532400,1.0,135000000.0,default,
562000,541511,541511,1.0,19000000.0,default,
562000,5416A0,5416A0,1.0,139000000.0,default,
562000,541700,541700,1.0,5000000.0,default,
611100,233262,233262,1.0,468000000.0,default,
611100,454000,454000,1.0,61000000.0,default,
611100,541511,541511,1.0,674000000.0,default,
611100,721000,721000,1.0,377000000.0,default,
611100,722A00,722A00,1.0,240000000.0,default,
611A00,233262,233262,1.0,54000000.0,default,
611A00,2334A0,2334A0,1.0,69000000.0,default,
611A00,454000,454000,1.0,247000000.0,default,
611A00,4B0000,4B0000,1.0,146000000.0,default,
611A00,5241XX,5241XX,1.0,108000000.0,default,
611A00,531ORE,531ORE,1.0,63000000.0,default,
611A00,541511,541511,1.0,3352000000.0,default,
611A00,541200,541200,1.0,30000000.0,default,
611A00,541700,541700,1.0,30082000000.0,default,
611A00,711200,711200,1.0,1628000000.0,default,
611A00,721000,721000,1.0,26387000000.0,default,
611A00,722110,722110,1.0,4508000000.0,default,
611A00,722A00,722A00,1.0,9643000000.0,default,
611A00,811100,811100,1.0,6000000.0,default,
611A00,812100,812100,1.0,11000000.0,default,
611B00,233262,233262,1.0,103000000.0,default,
611B00,446000,446000,1.0,17000000.0,default,
611B00,4B0000,4B0000,1.0,250000000.0,default,
611B00,541511,541511,1.0,659000000.0,default,
611B00,541700,541700,1.0,20000000.0,default,
621100,233210,233210,1.0,208000000.0,default,
621100,446000,446000,1.0,2019000000.0,default,
621100,448000,448000,1.0,75000000.0,default,
621100,532400,532400,1.0,7000000.0,default,
621100,532A00,532A00,1.0,2000000.0,default,
621100,541511,541511,1.0,172000000.0,default,
621100,541700,541700,1.0,61000000.0,default,
621100,722211,722211,1.0,32000000.0,default,
621200,233210,233210,1.0,14000000.0,default,
621200,446000,446000,1.0,27000000.0,default,
621200,541511,541511,1.0,1000000.0,default,
621200,541700,541700,1.0,1000000.0,default,
621300,233210,233210,1.0,11000000.0,default,
621300,446000,446000,1.0,5976000000.0,default,
621300,448000,448000,1.0,126000000.0,default,
621300,532400,532400,1.0,187000000.0,default,
621300,532A00,532A00,1.0,50000000.0,default,
621300,541511,541511,1.0,26000000.0,default,
621300,541700,541700,1.0,47000000.0,default,
621300,722211,722211,1.0,15000000.0,default,
621400,233210,233210,1.0,169000000.0,default,
621400,446000,446000,1.0,470000000.0,default,
621400,448000,448000,1.0,136000000.0,default,
621400,532400,532400,1.0,10000000.0,default,
621400,541511,541511,1.0,229000000.0,default,
621400,541700,541700,1.0,37000000.0,default,
621400,722211,722211,1.0,1000000.0,default,
621500,233210,233210,1.0,7000000.0,default,
621500,446000,446000,1.0,4000000.0,default,
621500,541511,541511,1.0,193000000.0,default,
621500,541700,541700,1.0,32000000.0,default,
621600,233210,233210,1.0,1000000.0,default,
621600,446000,446000,1.0,128000000.0,default,
621600,532400,532400,1.0,114000000.0,default,
621600,532A00,532A00,1.0,20000000.0,default,
621600,541511,541511,1.0,51000000.0,default,
621600,541700,541700,1.0,7000000.0,default,
621900,233210,233210,1.0,4000000.0,default,
621900,446000,446000,1.0,20000000.0,default,
621900,532400,532400,1.0,19000000.0,default,
621900,532A00,532A00,1.0,5000000.0,default,
621900,541511,541511,1.0,88000000.0,default,
621900,541700,541700,1.0,8000000.0,default,
622000,233210,233210,1.0,1226000000.0,default,
622000,446000,446000,1.0,1600000000.0,default,
622000,532400,532400,1.0,111000000.0,default,
622000,532A00,532A00,1.0,29000000.0,default,
622000,541511,541511,1.0,2493000000.0,default,
622000,541700,541700,1.0,7057000000.0,default,
622000,621600,621600,0.3695836873406967,1305000000.0,default,
622000,722211,722211,1.0,1663000000.0,default,
623A00,233210,233210,1.0,36000000.0,default,
623A00,446000,446000,1.0,13000000.0,default,
623A00,531ORE,531ORE,1.0,127000000.0,default,
623A00,541511,541511,1.0,6000000.0,default,
623A00,541700,541700,1.0,1000000.0,default,
623A00,621600,621600,1.0,128000000.0,default,
623A00,623B00,623B00,1.0,5000000.0,default,
623A00,722211,722211,1.0,251000000.0,default,
623B00,233210,233210,1.0,6000000.0,default,
623B00,446000,446000,1.0,11000000.0,default,
623B00,531ORE,531ORE,1.0,30000000.0,default,
623B00,541511,541511,1.0,23000000.0,default,
623B00,541700,541700,1.0,8000000.0,default,
623B00,621400,621400,1.0,5000000.0,default,
623B00,621600,621600,1.0,4000000.0,default,
623B00,624100,624100,1.0,160000000.0,default,
623B00,624400,624400,1.0,431000000.0,default,
623B00,722211,722211,1.0,336000000.0,default,
624100,233210,233210,1.0,44000000.0,default,
624100,446000,446000,1.0,17000000.0,default,
624100,541511,541511,1.0,73000000.0,default,
624100,541700,541700,1.0,11000000.0,default,
624100,621400,621400,1.0,258000000.0,default,
624100,624A00,624A00,1.0,2456000000.0,default,
624400,233210,233210,1.0,3000000.0,default,
624400,541511,541511,1.0,2000000.0,default,
624400,541700,541700,1.0,1000000.0,default,
624A00,233210,233210,1.0,89000000.0,default,
624A00,444000,444000,1.0,111000000.0,default,
624A00,446000,446000,1.0,85000000.0,default,
624A00,541511,541511,1.0,36000000.0,default,
624A00,541700,541700,1.0,3000000.0,default,
711100,2332D0,2332D0,1.0,242000000.0,default,
711100,4B0000,4B0000,1.0,145000000.0,default,
711100,531ORE,531ORE,1.0,47000000.0,default,
711100,532A00,532A00,1.0,23000000.0,default,
711100,533000,533000,1.0,13000000.0,default,
711100,541511,541511,1.0,11000000.0,default,
711100,541800,541800,1.0,67000000.0,default,
711100,722211,722211,1.0,311000000.0,default,
711200,2332D0,2332D0,1.0,56000000.0,default,
711200,4B0000,4B0000,1.0,219000000.0,default,
711200,532A00,532A00,1.0,172000000.0,default,
711200,533000,533000,1.0,889000000.0,default,
711200,541511,541511,1.0,21000000.0,default,
711200,541700,541700,1.0,1000000.0,default,
711200,541800,541800,1.0,5468000000.0,default,
711200,611B00,611B00,1.0,289000000.0,default,
