commodity,industry,million_usd,moved
33211A,331490,71.0,False
335920,331490,1.0,False
325180,331490,31.0,False
423A00,331490,49.0,False
541511,331490,5.0,False
541700,331490,44.0,False
S00401,331490,30.0,False
233230,331510,14.0,False
331110,331510,1.0,False
331510,331510,16303.0,False
331520,331510,278.0,False
332710,331510,88.0,False
332800,331510,15.0,False
33291A,331510,32.0,False
332999,331510,93.0,False
423A00,331510,195.0,False
541511,331510,9.0,False
541700,331510,44.0,False
S00401,331510,15.0,False
233230,331520,10.0,False
331510,331520,132.0,False
331520,331520,12045.0,False
332710,331520,77.0,False
332999,331520,13.0,False
333511,331520,21.0,False
333514,331520,247.0,False
333517,331520,1.0,False
333613,331520,15.0,False
333618,331520,5.0,False
423A00,331520,109.0,False
541511,331520,8.0,False
541700,331520,36.0,False
S00401,331520,49.0,False
233230,332114,14.0,False
331110,332114,31.0,False
331200,332114,11.0,False
332114,332114,6403.0,False
332310,332114,113.0,False
332320,332114,45.0,False
332420,332114,4.0,False
332710,332114,7.0,False
332996,332114,4.0,False
333414,332114,8.0,False
336370,332114,2.0,False
423A00,332114,41.0,False
541511,332114,2.0,False
541700,332114,9.0,False
S00401,332114,95.0,False
233230,33211A,24.0,False
331110,33211A,55.0,False
331200,33211A,1.0,False
331410,33211A,11.0,False
331490,33211A,31.0,False
332114,33211A,1.0,False
33211A,33211A,12462.0,False
332320,33211A,3.0,False
332710,33211A,2.0,False
332720,33211A,7.0,False
33291A,33211A,1.0,False
332999,33211A,28.0,False
333514,33211A,8.0,False
333613,33211A,6.0,False
333618,33211A,4.0,False
336212,33211A,1.0,False
324190,33211A,1.0,False
423A00,33211A,153.0,False
541511,33211A,15.0,False
541700,33211A,57.0,False
S00401,33211A,89.0,False
233230,332119,20.0,False
331110,332119,6.0,False
331200,332119,1.0,False
332114,332119,1.0,False
332119,332119,9874.0,False
332200,332119,1.0,False
332310,332119,7.0,False
332320,332119,5.0,False
332410,332119,2.0,False
332500,332119,1.0,False
332600,332119,14.0,False
332710,332119,23.0,False
332720,332119,21.0,False
332800,332119,11.0,False
332999,332119,3.0,False
333511,332119,1.0,False
333514,332119,167.0,False
335930,332119,2.0,False
336370,332119,250.0,False
337215,332119,20.0,False
339910,332119,4.0,False
326190,332119,2.0,False
423A00,332119,28.0,False
541511,332119,20.0,False
541700,332119,67.0,False
S00401,332119,680.0,False
233230,332200,11.0,False
331200,332200,1.0,False
332200,332200,8660.0,False
332320,332200,1.0,False
332430,332200,11.0,False
332710,332200,1.0,False
332720,332200,1.0,False
332800,332200,1.0,False
333130,332200,1.0,False
33329A,332200,3.0,False
333314,332200,1.0,False
333318,332200,1.0,False
333514,332200,1.0,False
33351B,332200,91.0,False
333991,332200,84.0,False
335120,332200,1.0,False
335999,332200,2.0,False
336390,332200,1.0,False
337127,332200,1.0,False
339940,332200,8.0,False
339990,332200,46.0,False
314900,332200,5.0,False
323110,332200,3.0,False
323120,332200,15.0,False
3259A0,332200,1.0,False
326120,332200,10.0,False
326190,332200,1.0,False
423A00,332200,319.0,False
541511,332200,14.0,False
541700,332200,139.0,False
541800,332200,4.0,False
S00401,332200,11.0,False
233230,332310,1191.4884418008066,True
321200,332310,6.0687017409209165,True
3219A0,332310,5.05725145076743,True
332114,332310,259.94272456944594,True
33211A,332310,2.022900580306972,True
332119,332310,4.045801160613944,True
332310,332310,42278.68742506558,True
332320,332310,629.1220804754684,True
332420,332310,7.080152031074403,True
332710,332310,254.8854731186785,True
332720,332310,58.664116828902195,True
332800,332310,19.217555512916235,True
332996,332310,56.64121624859522,True
332999,332310,61.69846769936265,True
333111,332310,1.011450290153486,True
333318,332310,63.721368279669626,True
333414,332310,16.183204642455777,True
333514,332310,11.125953191688346,True
333517,332310,11.125953191688346,True
333920,332310,4.045801160613944,True
33451A,332310,6.0687017409209165,True
336370,332310,2.022900580306972,True
339910,332310,1.011450290153486,True
314900,332310,1.011450290153486,True
325130,332310,2.022900580306972,True
326190,332310,5.05725145076743,True
423A00,332310,992.2327346405699,True
541511,332310,29.332058414451097,True
541700,332310,478.41598724259893,True
541800,332310,1.011450290153486,True
S00401,332310,262.9770754399064,True
2332A0,332320,102.0,False
233230,332320,320.0,False
321910,332320,143.0,False
3219A0,332320,5.0,False
327200,332320,37.0,False
327390,332320,3.0,False
331200,332320,1.0,False
33131B,332320,2.0,False
332119,332320,41.0,False
332310,332320,132.0,False
332320,332320,40287.0,False
332410,332320,1.0,False
332420,332320,136.0,False
332500,332320,158.0,False
332600,332320,1.0,False
332710,332320,105.0,False
332720,332320,145.0,False
332800,332320,38.0,False
332999,332320,98.0,False
333111,332320,67.0,False
333415,332320,1.0,False
333413,332320,53.0,False
333514,332320,10.0,False
33451A,332320,12.0,False
335999,332320,6.0,False
336390,332320,1.0,False
337127,332320,3.0,False
337215,332320,27.0,False
339910,332320,2.0,False
339990,332320,6.0,False
314900,332320,4.0,False
326120,332320,17.0,False
326150,332320,1.0,False
326190,332320,185.0,False
423A00,332320,688.0,False
541511,332320,38.0,False
541700,332320,335.0,False
S00401,332320,267.0,False
233230,332410,66.0,False
332410,332410,6941.0,False
332420,332410,4.0,False
332710,332410,11.0,False
333415,332410,6.0,False
333912,332410,1.0,False
333914,332410,9.0,False
423A00,332410,80.0,False
541511,332410,4.0,False
541700,332410,16.0,False
S00401,332410,6.0,False
2332A0,332420,84.0,False
233230,332420,83.0,False
332310,332420,30.0,False
332320,332420,22.0,False
332410,332420,25.0,False
332420,332420,7818.0,False
332710,332420,10.0,False
332800,332420,5.0,False
33291A,332420,1.0,False
332996,332420,3.0,False
332999,332420,19.0,False
333130,332420,29.0,False
333611,332420,12.0,False
336211,332420,15.0,False
336212,332420,5.0,False
326190,332420,2.0,False
423A00,332420,19.0,False
541511,332420,6.0,False
541700,332420,131.0,False
S00401,332420,73.0,False
233230,332430,165.0,False
331200,332430,1.0,False
332310,332430,2.0,False
332320,332430,1.0,False
332430,332430,17474.0,False
332710,332430,1.0,False
332999,332430,1.0,False
333111,332430,2.0,False
333318,332430,35.0,False
333994,332430,1.0,False
337127,332430,1.0,False
322210,332430,1.0,False
326190,332430,1.0,False
423A00,332430,52.0,False
541511,332430,6.0,False
541700,332430,24.0,False
S00401,332430,188.0,False
233230,332500,8.0,False
332119,332500,2.0,False
332320,332500,35.0,False
332500,332500,8288.0,False
332800,332500,1.0,False
334118,332500,1.0,False
335220,332500,128.0,False
335313,332500,3.0,False
335999,332500,4.0,False
336360,332500,1.0,False
336370,332500,19.0,False
336390,332500,62.0,False
33712N,332500,3.0,False
337215,332500,1.0,False
339920,332500,2.0,False
314900,332500,1.0,False
423A00,332500,30.0,False
541511,332500,9.0,False
541700,332500,37.0,False
S00401,332500,14.0,False
233230,332600,14.0,False
327200,332600,1.0,False
331200,332600,3217.0,False
332119,332600,29.0,False
332320,332600,1.0,False
332500,332600,6.0,False
332600,332600,5462.0,False
332800,332600,14.0,False
332999,332600,2.0,False
337215,332600,2.0,False
313200,332600,9.0,False
314900,332600,7.0,False
326190,332600,8.0,False
423A00,332600,176.0,False
541511,332600,16.0,False
541700,332600,55.0,False
S00401,332600,182.0,False
233230,332710,78.74193046493015,True
331110,332710,7.8032543703984825,True
331200,332710,1.4187735218906332,True
332114,332710,2.8375470437812664,True
33211A,332710,0.7093867609453166,True
332119,332710,63.13542172413318,True
332200,332710,1.4187735218906332,True
332310,332710,282.335930856236,True
332320,332710,18.444055784578232,True
332420,332710,23.40976311119545,True
332710,332710,35594.89552859762,True
332720,332710,705.83982714059,True
332800,332710,113.50188175125066,True
332996,332710,4.965707326617216,True
332999,332710,14.897121979851649,True
333111,332710,4.965707326617216,True
333120,332710,12.7689616970157,True
333130,332710,0.7093867609453166,True
33329A,332710,34.759951286320515,True
333511,332710,7.0938676094531665,True
333514,332710,256.0886207012593,True
333517,332710,7.0938676094531665,True
33351B,332710,32.631791003484565,True
333914,332710,0.7093867609453166,True
333920,332710,17.734669023632915,True
