napcs_code,bea_2017_commodity,weight,resolution,napcs_description
2000375018,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, other smoked meats, not canned or made into sausage"
2000375021,31161A,1.0,NAICS_2012_Code,"Manufacturing of pork, boiled ham, barbecue pork, and other cooked meats, excluding canned meats and sausage"
2000400000,31161A,1.0,NAICS_2012_Code,"Manufacturing of sausage and similar products, excluding canned"
2000400003,31161A,1.0,NAICS_2012_Code,"Manufacturing of sausage, fresh (pork sausage, breakfast links, etc.), excluding canned"
2000400006,31161A,1.0,NAICS_2012_Code,"Manufacturing of sausage, dry or semidry (salami, cervelat, beef jerky, pepperoni, summer sausage, pork roll, etc.)"
2000400009,31161A,1.0,NAICS_2012_Code,"Manufacturing of frankfurters, including wieners, excluding canned"
2000400012,31161A,1.0,NAICS_2012_Code,"Manufacturing of other sausage, smoked or cooked (bologna, liverwurst, Polish sausage, etc.), excluding canned"
2000400015,31161A,1.0,NAICS_2012_Code,"Manufacturing of jellied goods and similar preparations (headcheese, meat loaves, scrapple, puddings, chili con carne, etc.), excluding canned"
2000425000,31161A,1.0,NAICS_2012_Code,"Manufacturing of canned meats (excluding dog, cat, and baby food)"
2000430000,31161A,1.0,NAICS_2012_Code,"Manufacturing of natural sausage casings (beef, hog, etc.)"
2000435000,31161A,1.0,NAICS_2012_Code,Manufacturing of edible collagen sausage casings
2000450000,31161A,1.0,NAICS_2012_Code,"Manufacturing of boxed meat (beef, pork, lamb, etc.)"
2000475000,31161A,1.0,NAICS_2012_Code,"Manufacturing of frozen ground meat patties, portion control meats, pork rind pellets (including pork cracklings), and other processed, frozen, or cooked meats"
2000500000,311700,1.0,NAICS_2007_Code,"Manufacturing of prepared fresh seafood (including fresh surimi and surimi-based products, roe, and squid)"
2000525000,311700,1.0,NAICS_2007_Code,Manufacturing of prepared frozen fish
2000550000,311700,1.0,NAICS_2007_Code,Manufacturing of prepared frozen shellfish
