code_2022,code_2017,level_2022,level_2017,split,description_2022,description_2017
4003360000,4003350000,B,B,True,"Wholesale sales of other petroleum products, including road oil and wax","Wholesale sales of other petroleum products, including asphalt, road oil, and wax"
4003380000,4003375000,B,B,True,"Wholesale sales of chemicals, except explosives, automotive, drillers, and sanitation chemicals","Wholesale sales of chemicals, except explosives and automotive, drillers, and sanitation chemicals"
4003380003,4003375003,D,D,False,"Wholesale sales of compressed and liquefied gases, except liquefied petroleum (LP)","Wholesale sales of compressed and liquefied gases, except liquefied petroleum (LP)"
4003380006,4003375006,D,D,False,Wholesale sales of alkalies and chlorine,Wholesale sales of alkalies and chlorine
4003380009,4003375009,D,D,False,"Wholesale sales of wood chemicals, naval stores, and gum","Wholesale sales of wood chemicals, naval stores, and gum"
4003380012,4003375012,D,D,True,"Wholesale sales of other chemicals, except explosives and automotive, drillers, and sanitation chemicals","Wholesale sales of other chemicals, except explosives and automotive, drillers, and sanitation chemicals"
4003385000,4003375012,B,D,True,"Wholesale sales of cannabis extracts and concentrates, including CBD oil","Wholesale sales of other chemicals, except explosives and automotive, drillers, and sanitation chemicals"
4003400000,4003400000,B,B,False,Wholesale sales of liquefied petroleum (LP) and propane,Wholesale sales of liquefied petroleum (LP)
4003425000,4003425000,B,B,False,"Wholesale sales of industrial gases, except oxygen, acetylene and other welding gases","Wholesale sales of industrial gases, except oxygen, acetylene and other welding gases"
4003450000,4003450000,B,B,False,Wholesale sales of acetylene and other welding gases,Wholesale sales of acetylene and other welding gases
4003475000,4003475000,B,B,False,Wholesale sales of oxygen,Wholesale sales of oxygen
4003505000,4003500000,B,B,True,"Wholesale sales of laminates, plastic raw materials, and crude rubber","Wholesale sales of laminates, plastic raw materials, and crude rubber"
4003505003,4003500003,D,D,False,Wholesale sales of high pressure laminates and plastic resins,Wholesale sales of high pressure laminates and plastic resins
4003505006,4003500006,D,D,False,Wholesale sales of plastics raw materials,Wholesale sales of plastics raw materials
4003505009,4003500009,D,D,False,"Wholesale sales of rubber, crude","Wholesale sales of rubber, crude"
4003507000,4003500012,B,D,False,Wholesale sales of carbon black,Wholesale sales of carbon black
4003510000,4003510000,B,B,False,Wholesale sales of synthetic resins,Wholesale sales of synthetic resins
4003510003,4003510003,D,D,False,Wholesale sales of nylon and polyester resins,Wholesale sales of nylon and polyester resins
4003510006,4003510006,D,D,False,Wholesale sales of synthetic rubber and synthetic rubber resins,Wholesale sales of synthetic rubber and synthetic rubber resins
4003520000,4003520000,B,B,False,Wholesale sales of recyclable plastics and rubber,Wholesale sales of recyclable plastics and rubber
4003520003,4003520003,D,D,False,Wholesale sales of recyclable plastics,Wholesale sales of recyclable plastics
4003520006,4003520006,D,D,False,Wholesale sales of recyclable rubber,Wholesale sales of recyclable rubber
4003525000,4003525000,B,B,False,"Wholesale sales of nonmetallic minerals, except crude petroleum and minerals used in construction and fertilizer","Wholesale sales of nonmetallic minerals, except crude petroleum and minerals used in construction and fertilizer"
4003550000,4003550000,B,B,False,Wholesale sales of materials and supplies for glass products manufacturing,Wholesale sales of materials and supplies for glass products manufacturing
4003550003,4003550003,D,D,False,Wholesale sales of recyclable glass,Wholesale sales of recyclable glass
4003550006,4003550006,D,D,False,Wholesale sales of slags,Wholesale sales of slags
4003550009,4003550009,D,D,False,Wholesale sales of glass for glass product manufacturing,Wholesale sales of glass for glass product manufacturing
4003575000,4003575000,B,B,False,"Wholesale sales of ores, except coal, gemstones, and crude oil","Wholesale sales of ores, except coal, gemstones, and crude oil"
4003600000,4003600000,B,B,False,"Wholesale sales of nonferrous metals, including magnesium, nickel, tin, lead, and zinc, except gemstones","Wholesale sales of nonferrous metals, including magnesium, nickel, tin, lead, and zinc, except gemstones"
4003625000,4003625000,B,B,False,Wholesale sales of precious metals,Wholesale sales of precious metals
4003650000,4003650000,B,B,False,Wholesale sales of recyclable ferrous metal scrap,Wholesale sales of recyclable ferrous metal scrap
4003650003,4003650003,D,D,False,Wholesale sales of prepared ferrous metal scrap,Wholesale sales of prepared ferrous metal scrap
4003650006,4003650006,D,D,False,"Wholesale sales of unprepared ferrous metal scrap, including bi-metal cans","Wholesale sales of unprepared ferrous metal scrap, including bi-metal cans"
4003675000,4003675000,B,B,False,Wholesale sales of recyclable nonferrous metal scrap,Wholesale sales of recyclable nonferrous metal scrap
4003675003,4003675003,D,D,False,"Wholesale sales of aluminum scrap, including aluminum cans",Wholesale sales of aluminum scrap
4003675006,4003675006,D,D,False,Wholesale sales of copper and copper alloy scrap,Wholesale sales of copper and copper alloy scrap
4003675009,4003675009,D,D,False,Wholesale sales of lead scrap,Wholesale sales of lead scrap
4003675012,4003675012,D,D,False,"Wholesale sales of other nonferrous metallic scrap, including nickel, zinc, brass, and precious metals","Wholesale sales of other nonferrous metallic scrap, including nickel, zinc, and precious metals"
4003700000,4003700000,B,B,False,"Wholesale sales of coke, including coal coke",Wholesale sales of coke
4003725000,4003725000,B,B,False,Wholesale sales of semi-finished iron and steel products,Wholesale sales of semi-finished iron and steel products
4003725003,4003725003,D,D,False,Wholesale sales of sheet bars and tin plate bars,Wholesale sales of sheet bars and tin plate bars
4003725006,4003725006,D,D,False,Wholesale sales of wire rods,Wholesale sales of wire rods
4003725009,4003725009,D,D,False,Wholesale sales of other semi-finished iron and steel products,Wholesale sales of other semi-finished iron and steel products
4003750000,4003750000,B,B,False,Wholesale sales of flat iron and steel products,Wholesale sales of flat iron and steel products
4003750003,4003750003,D,D,False,Wholesale sales of plates,Wholesale sales of plates
4003750006,4003750006,D,D,False,Wholesale sales of hot-rolled and cold-rolled strips,Wholesale sales of hot-rolled and cold-rolled strips
4003750009,4003750009,D,D,False,Wholesale sales of cold-rolled sheets,Wholesale sales of cold-rolled sheets
4003750012,4003750012,D,D,False,Wholesale sales of hot-rolled sheets,Wholesale sales of hot-rolled sheets
4003750015,4003750015,D,D,False,Wholesale sales of tin plate and terneplate,Wholesale sales of tin plate and terneplate
