ActivitySourceName,Activity,SectorSourceName,Sector,SectorType,Notes,Table
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,61,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,62,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,71,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,72,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,81,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,S00102,,S00102,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,GSLGE,,GSLGE,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Wood Commercial,NAICS_2017_Code,GSLGH,,GSLGH,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12"
UMD_GHGIA,Drained Organic Soils Cropland,NAICS_2017_Code,111,,"111, excl. 1114",UMD_GHGIA_T_5_10
UMD_GHGIA,Mineralization and Asymbiotic Fixation Cropland,NAICS_2017_Code,111,,"111, excl. 1114",UMD_GHGIA_T_5_10
UMD_GHGIA,Organic Amendment Cropland,NAICS_2017_Code,111,,111,UMD_GHGIA_T_5_10
UMD_GHGIA,Residue N Cropland,NAICS_2017_Code,111,,111,UMD_GHGIA_T_5_10
UMD_GHGIA,Synthetic Fertilizer Cropland,NAICS_2017_Code,111,,111,UMD_GHGIA_T_5_10
UMD_GHGIA,All activities Grassland,NAICS_2017_Code,112,,112,"UMD_GHGIA_T_5_10, UMD_GHGIA_T_5_10"
UMD_GHGIA,Volatilization & Atm. Deposition Cropland,NAICS_2017_Code,111,,111,UMD_GHGIA_T_5_10
UMD_GHGIA,Surface Leaching & Run-Off Cropland,NAICS_2017_Code,111,,111,UMD_GHGIA_T_5_10
UMD_GHGIA,Natural Gas Industrial,NAICS_2017_Code,11,,"11, 21, 2212, 23","UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
UMD_GHGIA,Natural Gas Industrial,NAICS_2017_Code,21,,,"UMD_GHGIA_T_3_11, UMD_GHGIA_T_3_12, EPA_GHGI_T_A_14"
