direction,commodity,candidate_usd,reference_usd,status
exports,311111,1373260753.0,1424000000.0,2
exports,311119,1696029932.0,2908000000.0,2
exports,311210,2153447618.0,2076000000.0,2
exports,311221,2303480508.0,1904000000.0,2
exports,311225,693097853.0,497000000.0,2
exports,311224,6147049933.0,6629000000.0,2
exports,311230,669994003.0,694000000.0,2
exports,311300,2771091544.0,2919000000.0,2
exports,311410,2061774243.0,2074000000.0,1
exports,311420,3870032532.0,4252000000.0,2
exports,311513,1445323787.0,1845000000.0,2
exports,311514,3462189335.0,3301000000.0,2
exports,31151A,402954677.0,634000000.0,2
exports,311520,209119256.0,292000000.0,2
exports,311615,4309601998.0,3800000000.0,2
exports,31161A,17383898982.0,17501000000.0,1
exports,311700,275281162.0,398000000.0,2
exports,311810,1448596459.0,1764000000.0,2
exports,3118A0,570149163.0,596000000.0,2
exports,311910,1324282693.0,5826000000.0,2
exports,311920,1228106143.0,1262000000.0,2
exports,311930,349253545.0,544000000.0,2
exports,311940,1619832090.0,1652000000.0,2
exports,311990,4848523029.0,5054000000.0,2
exports,312110,1147210509.0,1477000000.0,2
exports,312120,2549663645.0,841000000.0,2
exports,312130,1603211495.0,1640000000.0,2
exports,312140,1643939646.0,1525000000.0,2
exports,312200,197428012.0,1342000000.0,2
exports,313100,1977689069.0,1842000000.0,2
exports,313200,5227848192.0,3039000000.0,2
exports,313300,1229325068.0,1126000000.0,2
exports,314110,935115275.0,939000000.0,1
exports,314120,635716913.0,932000000.0,2
exports,314900,1219716897.0,3233000000.0,2
exports,315000,2826923343.0,3203000000.0,2
exports,316000,2930128400.0,3021000000.0,2
exports,322110,5484718086.0,5326000000.0,2
exports,322120,2587357276.0,10165000000.0,2
exports,322130,5338782858.0,287000000.0,2
exports,322210,2457738881.0,2561000000.0,2
exports,322220,5092061545.0,4660000000.0,2
exports,322230,70211735.0,492000000.0,2
exports,322291,1586973490.0,752000000.0,2
exports,322299,903916889.0,274000000.0,2
exports,323110,4692999510.0,2231000000.0,2
exports,323120,106256101.0,66000000.0,2
exports,324110,82549649056.0,97680000000.0,2
exports,324121,95958059.0,150000000.0,2
exports,324122,396819283.0,397000000.0,1
exports,324190,34910893.0,1683000000.0,2
exports,325110,2554198970.0,6380000000.0,2
exports,325120,526438332.0,569000000.0,2
exports,325130,3163294629.0,3133000000.0,1
exports,325180,13046205153.0,13313000000.0,2
exports,325190,38174219185.0,32439000000.0,2
exports,325211,28574333408.0,30776000000.0,2
exports,3252A0,7436099216.0,5780000000.0,2
exports,325411,2046863458.0,78000000.0,2
exports,325412,22497189085.0,30127000000.0,2
exports,325413,6926349534.0,117000000.0,2
exports,325414,19676493053.0,22574000000.0,2
exports,325310,3525495998.0,3495000000.0,1
exports,325320,3482788011.0,3797000000.0,2
exports,325510,2654393687.0,2909000000.0,2
exports,325520,2374857464.0,2115000000.0,2
exports,325610,7774069600.0,7384000000.0,2
exports,325620,8508392282.0,8502000000.0,1
exports,325910,917950336.0,953000000.0,2
exports,3259A0,7646685830.0,8052000000.0,2
exports,326110,8633878686.0,5185000000.0,2
exports,326120,1863482861.0,1528000000.0,2
exports,326130,0.0,17000000.0,3
exports,326140,0.0,3000000.0,3
exports,326150,0.0,6000000.0,3
exports,326160,625649548.0,651000000.0,2
exports,326190,9888677636.0,12900000000.0,2
exports,326210,4098900840.0,4179000000.0,2
